s,ymin,ymax
6773.0207925538925,-0.04,0.04
6772.720792553893,-0.04,0.04
6765.720792553893,-0.04,0.04
6765.420792553894,-0.04,0.04
6758.420792553894,-0.04,0.04
6758.0207925538925,-0.04,0.04
6754.420792553894,-0.04,0.04
6754.0207925538925,-0.04,0.04
6747.0207925538925,-0.04,0.04
6746.720792553893,-0.04,0.04
6742.540792553893,-0.04,0.04
6742.240792553894,-0.04,0.04
6735.240792553894,-0.04,0.04
6734.940792553894,-0.04,0.04
6727.940792553894,-0.04,0.04
6727.540792553893,-0.04,0.04
6723.940792553894,-0.04,0.04
6723.540792553893,-0.04,0.04
6722.120792553895,-0.04,0.04
6721.720792553893,-0.04,0.04
6718.120792553895,-0.04,0.04
6717.720792553893,-0.04,0.04
6715.535792553892,-0.04,0.04
6715.5157925538915,-0.04,0.04
6715.255792553893,-0.05,0.05
6715.235792553893,-0.05,0.05
6715.170792553894,-0.05,0.05
6714.8907925538915,-0.0315,0.0315
6714.832792553894,-0.03,0.03
6714.710292553893,-0.03,0.03
6714.663792553893,-0.03,0.03
6714.605792553892,-0.015,0.015
6714.405792553895,-0.015,0.015
6714.149792553893,-0.01533,0.01533
6713.838992553894,-0.01533,0.01533
6713.010192553895,-0.01533,0.01533
6712.595792553893,-0.01533,0.01533
6712.181392553892,-0.01533,0.01533
6711.3525925538925,-0.01533,0.01533
6711.041792553893,-0.01533,0.01533
6710.885792553894,-0.015,0.015
6710.775792553894,-0.04,0.04
6710.375792553892,-0.04,0.04
6708.316792553895,-0.04,0.04
6706.834792553895,-0.04,0.04
6706.775792553894,-0.04,0.04
6706.375792553892,-0.04,0.04
6706.2657925538915,-0.015,0.015
6706.1097925538925,-0.01534,0.01534
6705.798992553893,-0.01534,0.01534
6704.970192553894,-0.01534,0.01534
6704.555792553892,-0.01534,0.01534
6704.141392553895,-0.01534,0.01534
6703.312592553892,-0.01534,0.01534
6703.001792553892,-0.01534,0.01534
6702.745792553895,-0.015,0.015
6702.465792553892,-0.015,0.015
6702.309792553893,-0.01532,0.01532
6701.998992553894,-0.01532,0.01532
6701.170192553895,-0.01532,0.01532
6700.755792553893,-0.01532,0.01532
6700.341392553892,-0.01532,0.01532
6699.512592553892,-0.01532,0.01532
6699.201792553893,-0.01532,0.01532
6698.945792553892,-0.015,0.015
6698.665792553893,-0.015,0.015
6698.509792553894,-0.0154,0.0154
6698.198992553895,-0.0154,0.0154
6697.370192553892,-0.0154,0.0154
6696.955792553894,-0.0154,0.0154
6696.541392553892,-0.0154,0.0154
6695.712592553893,-0.0154,0.0154
6695.401792553894,-0.0154,0.0154
6695.1457925538925,-0.015,0.015
6694.865792553894,-0.015,0.015
6694.709792553895,-0.0154,0.0154
6694.398992553892,-0.0154,0.0154
6693.570192553892,-0.0154,0.0154
6693.155792553895,-0.0154,0.0154
6692.741392553893,-0.0154,0.0154
6691.912592553894,-0.0154,0.0154
6691.6017925538945,-0.0154,0.0154
6691.345792553893,-0.015,0.015
6691.065792553894,-0.015,0.015
6690.909792553892,-0.01543,0.01543
6690.5989925538925,-0.01543,0.01543
6689.770192553893,-0.01543,0.01543
6689.355792553892,-0.01543,0.01543
6688.941392553894,-0.01543,0.01543
6688.1125925538945,-0.01543,0.01543
6687.801792553892,-0.01543,0.01543
6687.545792553894,-0.015,0.015
6687.345792553893,-0.015,0.015
6687.287792553892,-0.03,0.03
6687.165292553895,-0.03,0.03
6687.118792553894,-0.03,0.03
6687.060792553893,-0.022,0.022
6686.860792553893,-0.022,0.022
6684.725792553894,-0.022,0.022
6684.445792553892,-0.022,0.022
6684.2707925538925,-0.0221,0.0221
6683.420792553894,-0.0221,0.0221
6682.570792553892,-0.0221,0.0221
6682.260792553894,-0.022,0.022
6682.150792553894,-0.04,0.04
6681.850792553894,-0.04,0.04
6677.175792553895,-0.04,0.04
6676.875792553892,-0.04,0.04
6669.875792553892,-0.04,0.04
6669.575792553893,-0.04,0.04
6664.720792553893,-9.999999,9.999999
6662.575792553893,-0.04,0.04
6662.275792553894,-0.05,0.05
6662.213292553894,-0.05,0.05
6662.190792553894,-0.05,0.05
6662.128292553894,-0.05,0.05
6661.8907925538915,-0.04,0.04
6654.8907925538915,-0.04,0.04
6654.590792553892,-0.04,0.04
6647.590792553892,-0.04,0.04
6647.290792553893,-0.04,0.04
6647.180792553892,-0.0295,0.0295
6644.995792553895,-0.0295,0.0295
6644.715792553892,-0.0295,0.0295
6644.540792553893,-0.0294,0.0294
6643.690792553894,-0.0294,0.0294
6642.840792553892,-0.0294,0.0294
6642.580792553894,-0.0295,0.0295
6642.380792553893,-0.0295,0.0295
6642.322792553892,-0.03,0.03
6642.2002925538945,-0.03,0.03
6642.153792553894,-0.03,0.03
6642.095792553893,-0.026,0.026
6641.8957925538925,-0.026,0.026
6641.639792553895,-0.0261,0.0261
6641.328992553892,-0.0261,0.0261
6640.500192553893,-0.0261,0.0261
6640.085792553895,-0.0261,0.0261
